ConsignmentNumber,UniqueId,SenderReference,StatusDateTime,Status,StatusTag
"PLX189646","","393503651002105139, 393503651002105122","16/11/2021 18:55 +11:00","InDepot",""
"PLX189642","","393503651002105184, 393503651002105191","16/11/2021 18:55 +11:00","InDepot",""
"PLX189641","","393503651002105528, 393503651002105535","16/11/2021 18:56 +11:00","InDepot",""
"PLX019167","8e35a5d2-298a-4b0f-a0c5-f44905edcb8c","89634","16/11/2021 18:56 +11:00","InDepot",""
"PLX188470","","89426","16/11/2021 18:57 +11:00","InDepot",""
"PLX188620","","89449","16/11/2021 18:58 +11:00","InDepot",""
"PLX188477","","89429","16/11/2021 18:58 +11:00","InDepot",""
"PLX188453","","89450","16/11/2021 18:58 +11:00","InDepot",""
"PLX019161","8859fec3-fcf3-4514-b945-b09263c7f022","89384","16/11/2021 18:58 +11:00","InDepot",""
"PLX188472","","89427","16/11/2021 18:59 +11:00","InDepot",""
"PLX188486","","89464","16/11/2021 18:59 +11:00","InDepot",""
