ConsignmentNumber,UniqueID,SenderReference,ScanDateTime,BarcodeValue,ScanType,ScanLocation,ScanDestLocation,ScanTag
"PLX187122","","89012","01/11/2021 17:46 +11:00","PLX1871220070072233","Depot In","SYDNEY","",""
"PLX187334","","89061","01/11/2021 17:45 +11:00","PLX1873340050062641","Depot In","SYDNEY","",""
"PLX187132","","89021","01/11/2021 17:46 +11:00","PLX1871320030043158","Depot In","SYDNEY","",""
"PLX187122","","89012","01/11/2021 17:46 +11:00","PLX1871220040072233","Depot In","SYDNEY","",""
"PLX187714","","89226","01/11/2021 17:46 +11:00","PLX1877140010023138","Depot In","SYDNEY","",""
"PLX187509","","89168","01/11/2021 17:45 +11:00","PLX1875090020065125","Depot In","SYDNEY","",""
"PLX187268","","89078","01/11/2021 17:45 +11:00","PLX1872680040043161","Depot In","SYDNEY","",""
"PLX187122","","89012","01/11/2021 17:45 +11:00","PLX1871220050072233","Depot In","SYDNEY","",""
"PLX187147","","89039","01/11/2021 17:45 +11:00","PLX1871470010032444","Depot In","SYDNEY","",""
"PLX187289","","89140","01/11/2021 17:47 +11:00","PLX1872890010014008","Depot In","SYDNEY","",""
"PLX187301","","88825","01/11/2021 17:46 +11:00","PLX1873010040043809","Depot In","SYDNEY","",""
"PLX187509","","89168","01/11/2021 17:45 +11:00","PLX1875090010065125","Depot In","SYDNEY","",""
"PLX187122","","89012","01/11/2021 17:45 +11:00","PLX1871220010072233","Depot In","SYDNEY","",""
"PLX187302","","88821","01/11/2021 17:47 +11:00","PLX1873020010016112","Depot In","SYDNEY","",""
"PLX187334","","89061","01/11/2021 17:45 +11:00","PLX1873340040062641","Depot In","SYDNEY","",""
"PLX187301","","88825","01/11/2021 17:46 +11:00","PLX1873010010043809","Depot In","SYDNEY","",""
"PLX187509","","89168","01/11/2021 17:47 +11:00","PLX1875090030065125","Depot In","SYDNEY","",""
"PLX186899","","88924","01/11/2021 17:47 +11:00","PLX1868990010015109","Depot In","SYDNEY","",""
"PLX187509","","89168","01/11/2021 17:46 +11:00","PLX1875090040065125","Depot In","SYDNEY","",""
"PLX187268","","89078","01/11/2021 17:46 +11:00","PLX1872680030043161","Depot In","SYDNEY","",""
"PLX187122","","89012","01/11/2021 17:46 +11:00","PLX1871220020072233","Depot In","SYDNEY","",""
